,title,year
0,Phantom (Korean Drama),2012
1,City Conquest,2012
2,Queen In-Hyun's Man,2012
3,Panda and Hedgehog,2012
4,To The Beautiful You,2012
5,The Innocent Man (Nice Guy - Korean Drama),2012
6,Feast of the Gods,2012
7,Moon and Stars for You,2012
8,History of the Salaryman,2012
9,The Sons - Rascal Sons Korean Drama,2012
11,Love Rain (Korean Drama),2012
12,I Miss You - Korean Drama,2012
13,Faith (Korean Drama),2012
15,The Moon Embracing The Sun,2012
16,Big (Korean Drama),2012
17,Dream High 2,2012
18,Reply 1997,2012
20,The Master's Sun,2013
21,Who Are You - Korean Drama,2013
22,Basketball - Korean Drama,2013
23,Marry Him If You Dare,2013
24,Wang's Family,2013
25,Melody of Love,2013
26,The Queen of Office,2013
27,Don't Look BackÂ : The Legend of Orpheus,2013
28,Gu Family Book,2013
29,Ugly Alert,2013
30,The Heirs - Korean Drama,2013
31,My Love From the Star,2013
33,I Can Hear Your Voice,2013
34,Empress Ki,2013
37,Bel Ami (Pretty Boy),2013
38,Secret Love,2013
39,Good Doctor,2013
40,Healer,2014
41,High School King of Savvy,2014
42,Quiz from God 4,2014
43,Bad Guys (Korean Drama),2014
44,Steal Heart,2014
45,The King's Face,2014
46,Emergency Couple,2014
47,Misaeng: Incomplete Life,2014
48,Angel Eyes,2014
49,Schoolgirl Detectives,2014
50,Pinocchio (Korean Drama),2014
52,Hi! School - Love On,2014
53,"It's Ok, This is Love",2014
54,Doctor Stranger,2014
57,Fated To Love You (Korean Drama),2014
60,Oh My Venus,2015
61,Cheer Up! (Korean Drama),2015
62,Reply 1988,2015
63,"Kill Me, Heal Me",2015
64,Who Are You: School 2015,2015
65,Hello Monster,2015
66,Heart to Heart,2015
67,City of the Sun,2015
68,Remember: War of Son,2015
69,Ho-Gu's Love,2015
73,Blood (Korean Drama),2015
74,She Was Pretty,2015
77,Oh My Ghost,2015
78,The Producers,2015
80,Shopaholic Louis,2016
81,Moon Lovers: Scarlet Heart Ryeo,2016
82,W: Two Worlds Apart,2016
83,Love in the Moonlight,2016
84,Squad 38,2016
85,The K2,2016
86,Descendants of the Sun,2016
87,Guardian: The Lonely and Great God,2016
88,The Royal Gambler,2016
89,Moorim School,2016
94,The Legend of the Blue Sea,2016
96,Hwarang,2016
97,Weightlifting Fairy Kim Bok-Joo,2016
98,Doctors (Korean Drama),2016
99,Uncontrollably Fond,2016
100,Into the World Again,2017
101,Rain or Shine,2017
102,I'm Not a Robot,2017
103,Strong Woman Do Bong-Soon,2017
104,While You Were Sleeping (2017),2017
105,Suspicious Partner,2017
106,Fight for My Way,2017
107,Prison Playbook,2017
108,Go Back Couple,2017
109,The Emperor: Owner of the Mask,2017
115,A Korean Odyssey,2017
116,School 2017,2017
118,Because This Is My First Life,2017
119,The Bride of Habaek,2017
120,"My Secret, Terrius",2018
121,Live (Korean Drama),2018
122,Welcome to Waikiki,2018
123,Should We Kiss First,2018
124,Switch: Change the World,2018
125,Devilish Charm,2018
126,What's Wrong With Secretary Kim,2018
127,Hundred Million Stars From the Sky (Korean Drama),2018
128,Where Stars Land,2018
129,My Strange Hero,2018
130,Marry Me Now?,2018
133,Are You Human?,2018
134,Tempted (Korean Drama),2018
136,ID: Gangnam Beauty,2018
137,Mr. Sunshine,2018
138,Lawless Lawyer,2018
139,My Mister,2018
140,Touch Your Heart,2019
141,The Fiery Priest,2019
142,Golden Garden,2019
143,Angel's Last Mission: Love,2019
144,Vagabond (Korean Drama),2019
145,Psychopath Diary,2019
146,When the Devil Calls Your Name,2019
147,Partners for Justice Season 2,2019
148,The Tale of Nokdu,2019
149,Kill It,2019
150,Crash Landing on You,2019
151,Hotel Del Luna,2019
152,Extraordinary You,2019
153,Arthdal Chronicles,2019
156,Her Private Life,2019
158,Abyss (Korean Drama),2019
159,He is Psychometric,2019
160,Flower of Evil,2020
161,Was It Love,2020
162,It's Okay to Not Be Okay,2020
163,Stranger 2,2020
164,The Game: Towards Zero,2020
165,The King: Eternal Monarch,2020
166,Train (Korean Drama),2020
167,The Good Detective,2020
168,Itaewon Class,2020
169,Chip In,2020
173,Hospital Playlist,2020
174,Backstreet Rookie,2020
175,The World of the Married,2020
176,Hi Bye Mama,2020
177,Dr. Romantic 2,2020
178,When the Weather is Fine,2020
